step,loss,lr
200,8.543892,0.00004034
400,5.678563,0.00008069
600,4.698237,0.00012103
800,4.476738,0.00016137
1000,4.307104,0.00020172
1200,4.149687,0.00024206
1400,3.989811,0.00028241
1600,3.860068,0.00032275
1800,3.745593,0.00036309
2000,3.664251,0.00040344
2200,3.588467,0.00044378
2400,3.517057,0.00048412
2600,3.472827,0.00052447
2800,3.420122,0.00056481
3000,3.381919,0.00060515
3200,3.361124,0.00064550
3400,3.315412,0.00068584
3600,3.288007,0.00072618
3800,3.251521,0.00076653
4000,3.231435,0.00080687
4200,3.204690,0.00078743
4400,3.179563,0.00076932
4600,3.137340,0.00075241
4800,3.114171,0.00073657
5000,3.094021,0.00072169
5200,3.071175,0.00070767
5400,3.044788,0.00069444
5600,3.016668,0.00068193
5800,3.007650,0.00067007
6000,2.990087,0.00065881
6200,2.963908,0.00064809
6400,2.955399,0.00063789
6600,2.937655,0.00062815
6800,2.913659,0.00061884
7000,2.917595,0.00060994
7200,2.897335,0.00060141
7400,2.877007,0.00059322
7600,2.870008,0.00058537
7800,2.861813,0.00057781
8000,2.863057,0.00057054
8200,2.843672,0.00056354
8400,2.839833,0.00055679
8600,2.826865,0.00055028
8800,2.820416,0.00054399
9000,2.794375,0.00053791
9200,2.810451,0.00053204
9400,2.792737,0.00052634
9600,2.779363,0.00052083
9800,2.774079,0.00051549
10000,2.776729,0.00051031
10200,2.767396,0.00050528
10400,2.749669,0.00050040
10600,2.728678,0.00049566
10800,2.735198,0.00049105
11000,2.722249,0.00048656
11200,2.718366,0.00048220
11400,2.706783,0.00047795
11600,2.706875,0.00047381
11800,2.706689,0.00046978
12000,2.697012,0.00046585
12200,2.692163,0.00046201
12400,2.685488,0.00045827
12600,2.680546,0.00045462
12800,2.685632,0.00045105
13000,2.674370,0.00044757
13200,2.671395,0.00044417
13400,2.672249,0.00044084
13600,2.670278,0.00043759
13800,2.658193,0.00043441
14000,2.647983,0.00043129
14200,2.654761,0.00042824
14400,2.644838,0.00042526
14600,2.640010,0.00042234
14800,2.635968,0.00041947
15000,2.629314,0.00041667
15200,2.634271,0.00041392
15400,2.629589,0.00041122
15600,2.626848,0.00040858
15800,2.635309,0.00040598
16000,2.627500,0.00040344
16200,2.622251,0.00040094
16400,2.613795,0.00039849
16600,2.611300,0.00039608
16800,2.595878,0.00039371
17000,2.611212,0.00039139
17200,2.601437,0.00038911
17400,2.600709,0.00038687
17600,2.598215,0.00038466
17800,2.607163,0.00038249
18000,2.582998,0.00038036
18200,2.589602,0.00037827
18400,2.580632,0.00037621
18600,2.577521,0.00037418
18800,2.579331,0.00037218
19000,2.563798,0.00037022
19200,2.569455,0.00036828
19400,2.571293,0.00036638
19600,2.565665,0.00036451
19800,2.568844,0.00036266
20000,2.564186,0.00036084
20200,2.554447,0.00035905
20400,2.556463,0.00035729
20600,2.550913,0.00035555
20800,2.523379,0.00035384
21000,2.518239,0.00035215
21200,2.516292,0.00035048
21400,2.513848,0.00034884
21600,2.511491,0.00034722
21800,2.529770,0.00034563
22000,2.512487,0.00034405
22200,2.515843,0.00034250
